COURTNAME;COURTNUMBER;COURTADDRESS;COURTPHONE;COURTSITE
АС Республики Адыгея;А01;"385000, Республика Адыгея, г. Майкоп,
ул. Краснооктябрьская, 15";"(8772)52-63-34
(8772)57-16-26";http://adyg.arbitr.ru/
АС Республики Алтай;А02;"649000, Республика Алтай, Горно-Алтайск,
ул. Ленкина, 4";"(388-22)4-76-58
(388-22)4-77-17
(388-22)4-77-03";http://altai.arbitr.ru/
АС Республики Башкортостан;А07;"450057, г. Уфа,
ул. Октябрьской Революции, д. 63а";(347)272-59-60;http://ufa.arbitr.ru/
АС Республики Бурятия;А10;"670000 Улан-Удэ,
ул. Коммунистическая, 52";"(301-2)28-65-02
(301-2)28-65-28";http://buryatia.arbitr.ru/
АС Республики Дагестан;А15;"367009 Махачкала,
ул. Керимова, 7";(872-2)69-49-68;http://mahachkala.arbitr.ru/
АС Республики Ингушетия;А18;"386101 Назрань,
просп. им. Идриса Базоркина, 44";"(873-2)22-40-77
(873-2)22-40-57
(873-2)22-42-71
(873-2)22-71-07";http://ingushetia.arbitr.ru/
АС Республики Калмыкия;А22;"358000 Элиста,
ул. Сусеева,10";"(84722)33166
(84722)4-17-17";http://kalmyk.arbitr.ru/
АС Республики Карелия;А26;"185910 Петрозаводск,
ул. Красноармейская, 24а";"(814-2)79-05-90
(814-2)79-05-91
(814-2)79-05-09";http://karelia.arbitr.ru/
АС Республики Коми;А29;"167982 Сыктывкар,
ул. Орджоникидзе, д.49а";(821-2)30-08-00;http://komi.arbitr.ru/
АС Республики Крым;А83;"295000, г. Симферополь,
ул. А. Невского, д. 29/11";"(3652)550-113
(3652)550-101";http://crimea.arbitr.ru/
АС Республики Марий Эл;А38;"424002 Йошкар-Ола,
Ленинский просп., 40";"(836-2)69-33-42
(836-2)69-33-00";http://mari-el.arbitr.ru/
АС Республики Мордовия;А39;"430030 Саранск,
ул. Полежаева, дом 177";(834-2)24-08-83;http://asrm.arbitr.ru/
АС Республики Саха (Якутия);А58;"677980 Якутск,
ул. Курашова, 28";(411-2)34-05-80;http://yakutsk.arbitr.ru/
АС Республики Северная Осетия-Алания;А61;"362040 Владикавказ,
пл. Свободы, 5";(867-2)53-71-17;http://alania.arbitr.ru/
АС Республики Татарстан;А65;"420107 Казань,
ул.Ново-Песочная, д.40";(843)533-50-00;http://tatarstan.arbitr.ru/
АС Республики Тыва;А69;"667000, Республика Тыва, г. Кызыл,
ул. Кочетова, 91";(394-22)9-65-02;http://tyva.arbitr.ru/
АС Республики Хакасия;А74;"655017 Абакан,
ул.Крылова, 74, а/я 147";"(390-2)29-95-00
(390-2)29-95-02";http://khakasia.arbitr.ru/
АС Ростовской области;А53;"344002 Ростов-на-Дону,
ул. Станиславского, 10/11-13";"(863)282-84-44
(863)282-84-48";http://rostov.arbitr.ru/
АС Рязанской области;А54;"390000 Рязань,
ул. Почтовая, 43/44";(4912)20-95-00;http://ryazan.arbitr.ru/
АС Самарской области;А55;"443045 Самара,
ул. Авроры, 148";"(846)226-56-17
(846)207-55-15";http://samara.arbitr.ru/
АС Саратовской области;А57;"410002, Саратов,
ул.Бабушкин Взвоз, д.1";"(845-2)98-39-39
(845-2)98-39-00";http://saratov.arbitr.ru/
АС Сахалинской области;А59;"693000 Южно-Сахалинск,
пр.Коммунистический, 28";"(4242)46-09-45
(4242)46-09-03";http://sakhalin.arbitr.ru/
АС Свердловской области;А60;"620075 Екатеринбург,
ул. Шарташская, д. 4";"(343)371-42-50
(343)376-10-76";http://ekaterinburg.arbitr.ru/
АС Смоленской области;А62;"214001 Смоленск,
ул. Большая Советская 30/11";"(4812)24-47-72
(4812)24-47-71";http://smolensk.arbitr.ru/
АС Ставропольского края;А63;"355029 Ставрополь,
ул. Мира, 458б";(865-2)20-54-22;http://stavropol.arbitr.ru/
АС Тамбовской области;А64;"392020 Тамбов,
ул. Пензенская, 67/12";(4752)47-70-55;http://tambov.arbitr.ru/
АС Тверской области;А66;"170100, Тверь,
ул. Советская, 23";"(4822)390-255
(4822)390-294
(4822)390-276";http://tver.arbitr.ru/
АС Томской области;А67;"634050 Томск,
пр. Кирова, 10";"(3822)284-083
(3822)284-000
(3822)284-142";http://tomsk.arbitr.ru/
АС Тульской области;А68;"300041, Тула,
Красноармейский проспект, д. 5";(4872)250-800;http://tula.arbitr.ru/
АС Тюменской области;А70;"625052, Тюмень,
ул. Хохрякова, 77";(345-2)25-81-13;http://tumen.arbitr.ru/
АС Удмуртской Республики;А71;"426011, Ижевск,
ул. Ломоносова, 5";"(3412)602-628
(3412)602-643";http://udmurtiya.arbitr.ru/
АС Ульяновской области;А72;"432970 Ульяновск,
ул. Железнодорожная, 14";"(8422)33-46-08
(8422)33-46-09";http://ulyanovsk.arbitr.ru/
АС Хабаровского края;А73;"680030 Хабаровск,
ул. Ленина, 37";"(4212)91-08-31
(4212)91-08-27";http://khabarovsk.arbitr.ru/
АС Ханты-Мансийского автономного округа - Югры;А75;"628011 Ханты-Мансийский автономный округ - ЮГРА,
Ханты-Мансийск, ул. Мира, 27";"(3467)95-88-74
(3467)95-88-71";http://hmao.arbitr.ru/
АС Челябинской области;А76;"454091 Челябинск,
ул. Воровского, 2";(351)225-03-19;http://chel.arbitr.ru/
АС Чеченской Республики;А77;"364024, г. Грозный,
ул. имени Шейха Али Митаева, д. 22 Б";(8712)22-26-32;http://chechnya.arbitr.ru/
АС Чувашской Республики - Чувашии;А79;"428000 Чебоксары,
просп. Ленина, 4";(835-2)62-40-30;http://chuvashia.arbitr.ru/
АС Чукотского автономного округа;А80;"689000 Чукотский АО, г. Анадырь,
ул. Ленина, 9а";(427-22)2-96-00;http://chukotka.arbitr.ru/
АС Ямало-Ненецкого автономного округа;А81;"629007, г. Салехард,
ул. Республики, д. 102";"(34922)5-31-77
(34922)5-31-00";http://yamal.arbitr.ru/
АС Ярославской области;А82;"150999, Ярославль,
просп. Ленина, 28";(485-2)281-182;http://yaroslavl.arbitr.ru/
